id,conversation_id,customer_message,intent,escalate,escalation_reason,historical_agent_reply,label_source
91,conv_103166_103165,@customer iPhone X orange camera problem? [LINK],hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Let's help take a look. How long has this been happening? Have you tried any troubleshooting such as force quitting camera or rebooting the iPhone X? What's the version of iOS in Settings > General > About?,manual_review_verified
92,conv_34630_34631,@AppleSupport Will do thanks 👍,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer You're welcome. Have a great rest of your day.,manual_review_verified
93,conv_54583_54582,@AppleSupport @customer @customer I need your help! I want to play animal crossing but the app immediately crashes when I open it,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer We want to make sure you are able to play the games you'd like. In order to assist you, we need some information from you. What kind of device are you using? What version of the software is installed? Meet us with this information, here: [LINK]",manual_review_verified
94,conv_54445_54444,@AppleSupport why is my whole phone messed up after 3 back to back updates ? Why do I have question marks In replace of an emoji ?,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We're happy to assist. Which iOS 11 version are you currently running? Go to Settings > General > About for the version.,manual_review_verified
95,conv_41594_41592,@AppleSupport Hey guys just upgraded to IOS 11.0.3 Battery drain horrendous on my 6s. NEVER seen it so bad!!! Can you please improve this..😔,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Hi Alice. We've released an update to 11.1. Please navigate to Settings > General > Software Update to install the update.,manual_review_verified
96,conv_39638_39637,I guess it’s time to upgrade @AppleSupport my 6s Touch ID isn’t working..,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We'd love to help with your Touch ID. Check out: [LINK] Let us know if this helps or not.,manual_review_verified
97,conv_41620_41619,"@customer اتفق معك ... . . @AppleSupport . The device is still disconnected after the last update, this compline is from most of people",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We're here to help. DM us details about what's going on with your device. [LINK],manual_review_verified
98,conv_57510_57509,@customer Question for you please. Why are the iPhone battery start to die when you still have 6 months left in your contract to go,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We want to help. DM us more about your battery and we'll work from there. [LINK],manual_review_verified
99,conv_152863_152862,Bruh my battery already low smh @AppleSupport,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer We want to make sure you're able to use your phone, and have the battery run as expected. Please send us a DM with more details, and we'd be happy to help! [LINK]",manual_review_verified
100,conv_118073_118072,@customer ever consider a tougher case to help headphones survive accidents 😭#accident #beats #headphones #sad #broken [LINK],hardware_display_audio,1,Physical hardware damage requires in-person diagnostic inspection at Genius Bar or authorized service provider.,"@customer Broken Beats are never fun. We’d like to partner with you to see how we can help you enjoy your Beats again. So that we can explore the best options for your region, DM us the country you’re messaging us from. [LINK]",manual_review_verified
101,conv_115986_115984,@AppleSupport please fix the podcast app. You’ve completely ruined it in IOS 11. Where’s the sleep timer? I can’t find episodes. Total clusterfuck 😱🙈,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer We're here to help! Swipe up to access the sleep timer per this page: [LINK] As for not finding episodes, what do you see in the Library tab?",manual_review_verified
102,conv_41546_41544,"@customer The same issues, the audio on the screen recording doesn’t work, it freezes constantly & none of my photos & videos are back on my phone. +",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We want to be sure that you get the help you need. Please reach out here for help with your photos: [LINK],manual_review_verified
103,conv_61318_61320,@AppleSupport No it didn’t help... still not opening,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Send us a DM and we'll continue to help you look into what's going on. [LINK],manual_review_verified
104,conv_6657_6656,@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. [LINK],manual_review_verified
105,conv_61342_61341,@AppleSupport just got the iPhone 10 where game central app gone cart seem 2 find it?,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Congrats on your new iPhone X! We'd like to help with any questions you might help. Let us know in DM if you see Game Center as an option in the Settings app. [LINK],manual_review_verified
106,conv_159608_159606,"@AppleSupport Hello there, I’m having trouble with Apple Music. Sometimes my phone says it’s downloading a song and they never download till I restart my phone and even after that they never downloaded. Also new albums on Hip/Hip never show up till a week later? What’s wrong ? :(",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Let us help you get this sorted out so you can enjoy your music as expected. Which iOS version are you using on your iPhone?,manual_review_verified
107,conv_84186_84185,Where i can send a bug report for iOS? (No beta) @AppleSupport,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer You can submit feedback here: [LINK] We'd be happy to look into any issues you're having to try and resolve them. Tell us more about what you're experiencing.,manual_review_verified
108,conv_31958_31957,@AppleSupport iPad 11.0.3 iPhone 11.0.3 and yes I have tried unpairing and issue still persisted,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We'd recommend creating a backup of the data on both devices and updating to iOS 11.1. Please let us know if this helps.,manual_review_verified
109,conv_87212_87211,@AppleSupport facing problem with google maps on my iPhone 6 after updation of iOS 11.1.2 as map not taking my location and showing driving directions please support,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We'd be happy to see what's going on with your location. Are you seeing the same behavior in the Maps app?,manual_review_verified
110,conv_763_761,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer Just to confirm, this is only happening with Spotify, correct?",manual_review_verified
111,conv_97067_97065,Ok @customer: what’s the deal with iCal spontaneously shutting down while I’m using it? It’s happening more frequently lately. Seems like an easy fix....?,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Let's look into this together. Is the Calendar the only app that's shutting down unexpectedly? Are you doing anything specific that triggers it? We look forward to your response.,manual_review_verified
112,conv_82021_112816,@customer My iPhone keeps on going out of storage even though I've deleted 15 apps. Come on Tim.,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer We'd like to help. Please DM us which iPhone model and iOS version you have and we'll get started. [LINK],manual_review_verified
113,conv_116034_116033,@customer Ok how TF do I upload a cd to my phone??? this iCloud music library crap screwed everything up! I pay for Apple Music and this is what I get?!?!! Steve jobs would be disappointed NOT USER FRIENDLY AT ALL,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer Thanks for reaching out. We're happy to help. Send us a DM to get started. We'll meet you there. [LINK],manual_review_verified
114,conv_33411_33410,"So, the letter ‘I’ is broken until further notice? @customer",hardware_display_audio,1,Physical hardware damage requires in-person diagnostic inspection at Genius Bar or authorized service provider.,"@customer We'd like to help. What device are you using, and which OS version does it have installed?",manual_review_verified
115,conv_101304_101303,"@AppleSupport how do I go about raising a high level complaint please? 4 senior techs couldn’t help fix my problem, now my e mails are being unanswered, want a refund for a product that’s not fit for purpose, have tried everything to fix, thanks.",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer We'd be happy to look into this with you. DM us using the link below and we'll go from there. [LINK],manual_review_verified
116,conv_90538_90537,Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is @AppleSupport gonna finally admit that the some screens are not as good as they claim to be? @customer #Apple #iPhoneX,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Congratulations on your new iPhone! Let's get to the bottom of what's going on. Please send us a DM with your country and we can get started there. [LINK],manual_review_verified
117,conv_161293_161291,re my apple id - I've completed the process that took over a month on your end and it still won't let me recover my id - instead it's sending the password to the iPhone which I have reported as stolen over a year ago. Obviously problematic. Help? @AppleSupport,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer We're here to assist. We take your account security very seriously. We would recommend to reach out to our Account Security team to sort this out. You can reach them at: [LINK] They have all the tools in order to get this resolved. Thank you!,manual_review_verified
118,conv_151534_151533,Aye I️ updated my phone why i still got boxes? @AppleSupport,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We want to help you get this figured out. Please send us a DM and we'll continue there. [LINK],manual_review_verified
119,conv_120669_120667,@AppleSupport Can we please stop this shite where clicking the WiFi button in the control centre doesn’t turn it off? Let me choose when I want it to come back!,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer Thanks for reaching out to us for support. The way that works in Control Center has changed. Read more here, and DM if you need more help: [LINK] [LINK]",manual_review_verified
120,conv_145228_145227,So @customer @AppleSupport had sent me a replacement Apple Watch after my original one decided 2 brick upon an update to OS4. The replacement now will not charge or reset when I hold in the watch stem & power button. I had it on charger upon recieving it & it didn't charge at all,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer That's certainly not what we'd expect to happen with your replacement Apple Watch and we'd like to look in to this with you. Please DM us and we'll continue working together there. [LINK],manual_review_verified
121,conv_34678_34675,@AppleSupport after update to 10.13.1 Lacie is down again after a night of extreme and unprovoced disk access resulting in overheating! 2/2,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer When you have a moment, please send us over a DM. We're happy to work together with you on this. [LINK]",manual_review_verified
122,conv_55119_55117,What can’t @customer release an iOS without bugs in the software these days. Was Jobs their only QA expert on their team? Messages is broke...,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer We want Messages working for you; we'll do all we can to help. To start, can you describe for us exactly what's happening?",manual_review_verified
123,conv_123730_123729,I have a loving/hate relationship with my iphone 7. It’s not even 1 year old and the fucking battery sucks. I love iphones but i hate their battery jfc do something @customer,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. [LINK],manual_review_verified
124,conv_55935_55932,Hey @AppleSupport any update on fixing this I️ bug ? We out here looking crazy .,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version.,manual_review_verified
125,conv_61090_61089,"@AppleSupport All my photos keep being removed from my phone, after connecting it to my laptop they all get restored but it keeps happening?",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We're here to help. Let's take this to DM so we can better assist you. [LINK],manual_review_verified
126,conv_90257_90256,"@AppleSupport No, I think this needs to be public so it can help other people. So the phone is now dead and won’t charge, regardless of what charging cable I use or what I plug it into. What are you going to do about that? #iPhonebattery #iOS11",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,"@customer Let us gather information in order to help look into some options for you. We'd like to continue in DM in order to keep your information private. Whenever you're ready, we'll continue the conversation there. [LINK]",manual_review_verified
127,conv_90611_90610,"@AppleSupport iTunes - when syncing - backs up, determines which tracks to sync then goes straight to applying changes which goes on forever and syncs nothing. I have imported 4 CD's in the past week and only 1 is on my ipod.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Follow up with us in DM. Tell us if the issue persist after rebooting your devices, and tell us if you're using a Windows or Mac computer there. [LINK]",manual_review_verified
128,conv_87058_87057,@AppleSupport Thanks. I have iOS 11.1.2,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer DM the country or region where you are currently located to continue. [LINK],manual_review_verified
129,conv_59606_59605,"Uhhhh @AppleSupport , this you? 🤔 why is it saying my Apple ID will be disabled? [LINK]",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer This isn't us, and we'd love to see it. You can forward it to the address in this article: [LINK]",manual_review_verified
130,conv_36640_36641,@AppleSupport iphone 7 and 11.0.3,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Let's take a closer look. Send us a DM and we can start there. [LINK],manual_review_verified
131,conv_151483_151484,@AppleSupport With Instagram The whole app becomes slow along with the swiping of control center and notification panel I am having problem with theae social media apps only And these didnt occur as I upgraded from Ios 9 to ios 11,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer We appreciate the additional information. We'd like to look into some additional support options. DM us which country you're in, as options can vary by location, and we'll get started. [LINK]",manual_review_verified
132,conv_39627_39629,@AppleSupport Fixed. Wasn’t worm king with both until I went to work and connected to a WiFi that I haven’t been remembered by,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We're glad to hear all is well. Please let us know if there's anything else we can do.,manual_review_verified
133,conv_23130_23129,"Dear @customer, you’re really rude for ruining the battery life on our phones with that last update.",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We'd be happy to take a look into this with you. Could you please send us a DM so we can gather some information and get started? [LINK],manual_review_verified
134,conv_50076_50075,@AppleSupport The update sucks! How long before you fix all the bugs? This is ridiculous ☹️🙄😡😤,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Let's work on resolving the issues together. DM us what is happening and we can go from there. [LINK],manual_review_verified
135,conv_36655_36653,"@AppleSupport Do movies listed as DolbyVision in Tunes also support HDR10? Or is this random? Curiously, they are always listed as either or",other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Great question! If you see the HDR icon, this iTunes Store movie can play in HDR10. Check this out: [LINK]",manual_review_verified
136,conv_98816_98815,"@AppleSupport my iPhone 6 A1586, the touch screen freezes all the time no matter what iOS11 installed. It is disappointed.",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Let's check into what's going on with your iPhone. Tell us in DM when you notice this freezing. Does it happen when using specific apps or services? [LINK],manual_review_verified
137,conv_50824_50823,"Hey @customer any chance of getting an iOS11 update so that my 6s will stop freezing up, and where I can make calls without having to reset????",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We're here to help you. Please DM us the version of iOS 11 you're using and we can go from there. [LINK],manual_review_verified
138,conv_81997_81996,@AppleSupport fix my phone.,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We're happy to help. Could you please provide a few details about what you're experiencing?,manual_review_verified
139,conv_41674_41673,@AppleSupport 11.1 update broke my wifi it's greyed out i've been waiting on live chat for over 30 minutes..,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We are here to help whenever possible. DM which iPhone you are using to get started. [LINK],manual_review_verified
140,conv_90237_90238,"@AppleSupport Just made rhe reset. No change, still no connection",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer Thanks for completing that step. We see you're connected to a Hotspot rather than a Wi-Fi network. Please test this on a different Wi-Fi network, and let us know the results here: [LINK]",manual_review_verified
141,conv_29549_29548,"@AppleSupport Sometimes they're connected, sometimes they're not. Sometimes it even says bluetooth not available in the bar on top yet one will be connected!? Started after I updated.",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer You mentioned the Bluetooth icon shows as not available sometimes. Is the Bluetooth icon grayed out at the top? When this occurs, are you able to toggle Bluetooth on and off via System Preferences? Let's dig into this deeper over DM: [LINK]",manual_review_verified
142,conv_79997_79996,Dear @AppleSupport I’ve tried to enter my password a few times now and it keeps kicking back to my iPhone. This is really aggravating [LINK],account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer Hi there. Are you able to sign in to the iOS App Store from your device without issue? Please DM details, we'll meet you there to help. [LINK]",manual_review_verified
143,conv_154420_154419,@AppleSupport ever since the iOS 11.1.2 update my iPad Pro battery drains 2x as fast and frequently stops charging while in use. Even when I put it in airplane mode to charge it takes 2x as long. Please fix this. This is my lifeline at school!,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Hello. Battery life is essential, so let's work together to tweak your settings so you can get the most out of your iPad Pro's battery life between charges. Check out these tips to optimize your battery life: [LINK] Questions? Meet us in a DM here: [LINK]",manual_review_verified
144,conv_119497_119498,@AppleSupport I have not installed any new appliaction. Anyway automatic application updates are enabled so I cannot determine which of the ones that were installed today might be coincident with the exact time frame when the issue appeared.,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Got it. Let's look into this further via DM. Let us know if you're able to access the Control Center preferences via Settings. [LINK],manual_review_verified
145,conv_97049_97048,"Hey @customer, any word on the iMac Pro? Us pros have end-of-year tax implications with these kind of things. How about an update?",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We appreciate your interest and encourage you to stay up to date on Apple news here: [LINK],manual_review_verified
146,conv_35289_35286,@AppleSupport did update on 📱 n ⌚️ result? No more Twitter notifications😱 Yup mirrors my 📱 #itsalwayssomething,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We want to be sure you receive notifications as you'd expect. Let us know if this helps: [LINK],manual_review_verified
147,conv_36629_36628,"@AppleSupport hey, I just tried download the Final Cut Pro X trial but it says it's incompatible with High Sierra. Can I not download then?",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Hi there. We suggest reaching directly out to our Final Cut support team here: [LINK],manual_review_verified
148,conv_40437_40438,@AppleSupport it is updated to 11.1,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Thank you. Please send us a DM letting us know when this first started happening and we'll take it from there. [LINK],manual_review_verified
149,conv_34640_34639,@customer Now my rear camera is not working… and my phone needs to cool down apparently even tho it feels kool to me… 😠 @customer @AppleSupport,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Hi. We're here for you. DM us and tell us the exact version of iOS you're running. We'll go from there. [LINK],manual_review_verified
150,conv_58269_58267,"@AppleSupport My library works fine on the iPhone 7 I use for work, and on my Macbook. I was missing a playlist on my 7+ so I turned the library off and then back on hoping it would re-sync, but now can’t seem to access it at all on the 7+.",other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Thanks for those details. Let's try this. It looks like Personal Hotspot and Low Power mode are both on. Try turning off both of these features, restarting and turning on the iCloud Music Library again. Let us know with a DM if that does the trick. [LINK]",manual_review_verified
151,conv_97072_97071,"@AppleSupport Ever since I got my iPhone X I’ve been prompted to sign in to iCloud every day at the same time. I’ve tried completely signing out then back in, changing the password, nothing has worked so far. Any ideas?",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer We don't want you having to sign in every day! Meet us in DM with some details about what's going on, and which country you're in, and we'll take a look. [LINK]",manual_review_verified
152,conv_107378_107377,"Kinda annoyed that I lost all my data on my @customer⌚️when I upgraded to the iPhone X, even though I [supposedly] restored the watch from the last backup. Oh well, there’ll be plenty of time to make it all up again. P.S. I still can’t believe this @customer 280 character limit. 🤪",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer We'd like to address this with you. Please shoot us a DM and let us know if you migrated your data to your iPhone X and if so, how it was done. Restored a backup, used Quick Start or set things up as new. [LINK]",manual_review_verified
153,conv_118016_118015,@AppleSupport You have to go into your photos folder to delete pictures/videos now. You can go into your camera and delete them anymore? [LINK],hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Our Photos team can help look into this with you. You can reach out to them here to get this sorted out: [LINK],manual_review_verified
154,conv_122341_122340,@AppleSupport I’m having trouble accessing your website to purchase something. Any chance you know when it’ll be available again?,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer We're happy to help. What happens when you try to make a purchase? Are you getting an error message?,manual_review_verified
155,conv_41593_41595,@AppleSupport Thank you! My friend spotted this. I didn't realise it wouldn't automatically do the latest one. Thanks for replying-will do when get wifi😀,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer Awesome! Let us know how it goes.,manual_review_verified
156,conv_146630_146632,"@AppleSupport I don’t want to have to check! Is there a way for the device to show the status of the personal hotspot, as it does when it is connected to a client, and as the network bars show status?",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer The only other way to see if Personal Hotspot is enabled or not is by using 3D touch on the network toggles in Control Center where you can quickly turn it on or off.,manual_review_verified
157,conv_159601_159600,"@AppleSupport So, I did 3.17 miles yesterday (thanks for the achievement motivation!), and logged it with the Fitness app on my #AppleWatch, and now the achievement is not only granted, but missing from the Activity app all together... What happened here? :/ [LINK]",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Hello. Kudos to you for the awesome workout. Let's check a few things together via DM and see if we can get this fixed. Please tap here to continue: [LINK],manual_review_verified
158,conv_15722_15720,"6 years later I still can’t access Contacts on iCloud, what do we need to do to finally get this fixed, @AppleSupport? //cc @customer [LINK]",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer You should be able to access your iCloud contacts on the web. DM us, and we'll see what we can do. [LINK]",manual_review_verified
159,conv_13588_13587,Why do I need a sim card when I’m joined to the WiFi? I’m only using this phone to test websites. @AppleSupport [LINK],connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer You'll need to insert a SIM and activate the iPhone, once that's done you can remove the SIM and use the iPhone on Wi-Fi.",manual_review_verified
160,conv_92699_92698,"@AppleSupport : when a purchase to gift at a later day is made , will the charges take place at the moment of the purchase or on the delivery date ?",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer Great question. On any purchase, you are charged at the time of the transaction. Get in touch with our Sales team if you have any further questions: [LINK]",manual_review_verified
161,conv_154468_154467,"@AppleSupport ,my iphone 6s+ , got freeze daily and apps get unresponsive ..it has been happing since installed ios 11",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We are here for you! Which specific iOS version are you currently using?,manual_review_verified
162,conv_8577_8576,@AppleSupport since upgrade to High Sierra I see this screen each time my iMac reboots thus defeating automatic login I need. Help. [LINK],hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,"@customer Thanks for reaching out to let us know about this. So we can look into this with you, please DM us here: [LINK]",manual_review_verified
163,conv_44623_44622,Since I updated my phone this shit charge slow ASF @customer ‼️‼️‼️‼️‼️,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We’d like to help get your iPhone to charge quicker. Was this the iOS 11.1 update? Which iPhone?,manual_review_verified
164,conv_109020_109019,@AppleSupport is iCloud down? I can't sign in [LINK],account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer Thanks for reaching out. We don't show an iCloud outage at the moment. We can definitely look into this further. Do you still experience the same behavior after you restart your iPhone? Do you have the same results when you're connected to a cellular network? [LINK],manual_review_verified
165,conv_9212_32356,@AppleSupport Fix our iOS 11.03 battery issue. I’m on a 7 plus. @customer,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Send us a DM and let us know how long your battery is lasting. We'll help. [LINK],manual_review_verified
166,conv_42626_42624,@AppleSupport just took 6% of my battery to pull up an email for my target in store order. This has been happening since the last update 😡,battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Have you updated to iOS 11.1 yet? [LINK] Send us a DM and let us know. [LINK],manual_review_verified
167,conv_146728_146727,"@AppleSupport I'm considering getting my daughter an iPod touch for Xmas. I was wondering about parental controls in regards to iMessage. Is there a way to restrict her messaging to pre approved contacts only, in the parental control settings for iMessage?",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,"@customer We understand how important it is to be able to monitor your child's online activities. With Restrictions, access to apps and features can be limited. However, the behavior of an app cannot. You can see [LINK] for more details.",manual_review_verified
168,conv_11655_11654,@AppleSupport is my #IphoneX really going to ship between December 5-11? I preorder right when preordering open at 12:01,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Thank you for reaching out. May we ask where you're located? Let us know in DM. [LINK],manual_review_verified
169,conv_59603_59604,"@AppleSupport Yes unresponsive, i have blank screan, need to force close, and open again messages. Thanks",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.","@customer Thanks for those details. To help isolate the issue, can you tell us which version of iOS 11 your device is on?",manual_review_verified
170,conv_165775_165774,"@AppleSupport my Apple TV will not load my Mr. Robot season 3. Just lags out on the screen, but doesn’t do this with any other show.",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We want you to be able to enjoy your shows on your Apple TV! Let's get you in touch with our Apple TV experts. Reach out to them here: [LINK],manual_review_verified
171,conv_152875_152873,"@AppleSupport i updated to iOS11 and now my phone won’t open apple music, podcasts, or even run some apps that are completely up to date. Any fixes?",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Thanks for reaching out. We're here for you. Can you let us know which version of iOS 11 you're running? You can check by tapping Settings > General > About.,manual_review_verified
172,conv_90714_90713,@customer @AppleSupport 82% dropped to 37% in just fifteen minutes.,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer Having reliable battery life is important! Let us help you with your iPhone. You’ll want to start by making the recommended changes listed here: [LINK] DM us if you’re still having issues after testing out the changes. [LINK],manual_review_verified
173,conv_87164_87166,"@AppleSupport Where I live I barely have service, so it says “no service” but I usually send texts through WiFi & it still doesn’t work. But now it’s working. Why is that?",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,"@customer Thanks for clarifying this. When you see ""No Service"" it means your iPhone can't connect to your cellular providers network. You should have the option to send and receive iMessages via Wi-Fi if you don't have access to the cellular network.",manual_review_verified
174,conv_148144_148143,@AppleSupport I can’t seem to get full screen contact pictures anymore? Is this a known issue?,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Thanks for reaching out. Where in your device are you looking for these pictures? Which iPhone and specific iOS version are you using currently?,manual_review_verified
175,conv_94733_94735,"@AppleSupport I fixed it. I saw the link ""Using a 64-bit edition of Windows?"" at your site [LINK] and download via this link. But I didn't know this is an old link. I think you should update it.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We're glad that things are running once again. Let us know if we can be of any other assistance.,manual_review_verified
176,conv_145274_145273,"Hi @AppleSupport, i am having battery drain issues on my iphone 7 plus. Do you aware of this problem? Problem came with 11.1.2. [LINK]",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer HI there! We can definitely look into this with you. Send us a DM and we'll investigate this further. [LINK],manual_review_verified
177,conv_92717_92719,@AppleSupport The latest iOS update and its plug in with the official cable and plug but it doesn’t show the percentage go up until I reboot my phone and it changes,software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.","@customer Got it. Check out the steps in this link [LINK] under 'If your device charges slowly or won’t charge', and let us know the result in DM: [LINK]",manual_review_verified
